,ts_code,symbol,name,area,industry,list_date
472,001256.SZ,001256.SZ#E,炜冈科技,浙江,轻工机械,20221205
473,001258.SZ,001258.SZ#E,立新能源,新疆,新型电力,20220727
474,001259.SZ,001259.SZ#E,利仁科技,北京,家用电器,20220831
475,001260.SZ,001260.SZ#E,坤泰股份,山东,汽车配件,20230216
476,001266.SZ,001266.SZ#E,宏英智能,上海,电器仪表,20220228
477,001267.SZ,001267.SZ#E,汇绿生态,湖北,建筑工程,20211117
478,001268.SZ,001268.SZ#E,联合精密,广东,机械基件,20220630
479,001269.SZ,001269.SZ#E,欧晶科技,内蒙,矿物制品,20220930
480,001270.SZ,001270.SZ#E,铖昌科技,浙江,半导体,20220606
481,001278.SZ,001278.SZ#E,一彬科技,浙江,汽车配件,20230308
482,001282.SZ,001282.SZ#E,三联锻造,安徽,汽车配件,20230524
483,001283.SZ,001283.SZ#E,豪鹏科技,深圳,电气设备,20220905
484,001286.SZ,001286.SZ#E,陕西能源,陕西,火力发电,20230410
485,001287.SZ,001287.SZ#E,中电港,深圳,元器件,20230410
486,001288.SZ,001288.SZ#E,运机集团,四川,专用机械,20211101
487,001289.SZ,001289.SZ#E,龙源电力,北京,新型电力,20220124
488,001296.SZ,001296.SZ#E,长江材料,重庆,其他建材,20211224
489,001298.SZ,001298.SZ#E,好上好,深圳,元器件,20221031
490,001299.SZ,001299.SZ#E,美能能源,陕西,供气供热,20221031
491,001300.SZ,001300.SZ#E,三柏硕,山东,文教休闲,20221019
492,001301.SZ,001301.SZ#E,尚太科技,河北,电气设备,20221228
493,001308.SZ,001308.SZ#E,康冠科技,深圳,元器件,20220318
494,001309.SZ,001309.SZ#E,德明利,深圳,半导体,20220701
495,001311.SZ,001311.SZ#E,多利科技,安徽,汽车配件,20230227
496,001313.SZ,001313.SZ#E,粤海饲料,广东,饲料,20220216
497,001314.SZ,001314.SZ#E,亿道信息,深圳,元器件,20230214
